C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3
,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709,1460,5000,1124,4901,4709,4709,554,5000,1693,5000,4901,4709,181,5000,773,5000,5000,3400,296,4901,2098,5000,5000,3362,145,5000,2314,5000,2725,3434,400,4517,720,4901,1033,1394,305,1649,293,2210,554,530,197,529,122,500,193,221,100,234,257,225,125
4610,298,4901,1493,5000,4802,2465,173,5000,4901,5000,4901,4709,442,5000,1285,5000,4901,4525,122,5000,3700,5000,4901,4901,338,5000,610,5000,2626,3578,130,4610,697,4901,1073,986,365,1690,338,1937,362,365,205,370,145,580,153,170,104,260,170,225,181
4901,784,4901,1585,5000,5000,4608,698,4802,4021,5000,4901,4165,170,4901,2690,5000,5000,4901,377,4901,3125,5000,5000,538,277,5000,416,5000,2817,269,461,4525,493,4901,1153,1205,289,1445,404,1813,409,410,229,445,145,577,314,170,125,229,106,290,109
3076,194,4901,4436,5000,5000,2885,306,5000,2801,5000,5000,5000,292,5000,1796,5000,5000,3904,349,4901,424,5000,5000,4709,234,5000,1384,5000,2925,3185,296,4517,485,4901,962,1585,298,1521,490,1853,425,404,162,509,160,488,170,229,137,229,104,229,149
1850,442,5000,3589,5000,5000,4082,205,5000,3874,4901,5000,4901,250,4901,2132,5000,4901,4709,386,4901,461,5000,5000,4068,337,5000,1312,5000,2977,1706,265,4901,680,4901,1300,1585,257,1332,337,1930,401,445,178,485,173,538,234,241,170,194,144,234,106
3400,1010,4901,2725,5000,5000,4901,324,4901,2626,5000,5000,1285,226,4901,1609,5000,4901,4610,377,5000,845,5000,4901,4804,125,5000,1525,5000,2929,3845,257,4608,769,4802,1250,1306,409,1649,269,1972,457,505,197,410,130,577,149,229,145,205,145,265,104
4165,578,5000,2657,5000,4901,4705,468,5000,3796,5000,4901,5000,218,5000,2533,5000,5000,4517,194,5000,325,4901,4181,3284,745,4901,685,5000,2756,3088,305,4145,625,4901,1129,1513,226,1658,529,2041,482,450,256,466,170,692,212,232,136,212,130,333,148
2626,397,5000,4021,4901,4804,4901,337,5000,1733,5000,4901,3370,593,5000,4250,5000,5000,2650,458,5000,2861,5000,4901,4709,365,5000,1301,5000,2701,2725,505,4349,578,4901,1096,1341,260,1681,292,1940,397,442,226,565,145,612,170,226,145,205,244,290,148
3026,416,4901,2861,5000,5000,4525,745,4802,2801,5000,5000,4804,452,5000,4616,4901,4901,541,218,5000,648,5000,5000,4901,306,5000,625,5000,2900,2824,409,4517,757,4901,925,1405,260,1681,290,2017,404,386,170,1040,261,661,324,226,130,197,148,226,90
