C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2081,80,4901,3400,5000,5000,4181,200,5000,2500,5000,5000,3845,377,4901,845,4901,5000,4901,829,4901,922,5000,5000,2570,305,5000,1684,5000,1850,2210,450,3700,701,4616,794,1097,116,1369,250,1640,370,257,100,325,89,333,113,125,58,125,50,137,65
4804,85,5000,410,5000,4901,4329,545,5000,601,5000,5000,4901,169,4901,389,5000,5000,4517,445,5000,2105,5000,4901,4349,149,4901,493,5000,2610,3125,298,4709,500,4616,586,1040,233,1325,265,1768,269,205,97,314,113,409,101,116,52,125,65,148,53
4616,229,5000,2626,5000,4901,3425,585,4901,2545,5000,5000,4901,277,4901,481,5000,4901,4901,257,5000,692,5000,5000,2657,153,5000,90,5000,1810,2554,340,3985,208,4802,698,1025,65,1433,242,1952,260,325,98,314,85,365,97,125,37,130,58,170,74
2402,505,5000,2621,5000,4901,3880,241,4901,2762,5000,5000,977,845,4901,233,5000,5000,4082,197,4901,4804,5000,4901,4610,212,5000,1700,5000,1937,2725,333,4082,521,4709,821,1332,145,1508,218,1642,245,290,65,370,106,401,101,125,40,137,41,144,65
4525,226,5000,1124,4901,5000,2357,170,5000,2285,5000,5000,4804,130,4901,3697,5000,4901,4901,64,4901,1145,4901,4901,2564,586,4901,1040,5000,2186,2041,125,3944,593,4804,845,1261,180,1493,241,1621,292,85,98,325,98,400,85,116,53,137,65,130,64
457,1325,5000,458,5000,5000,4181,229,5000,941,5000,5000,4804,45,5000,2690,5000,5000,4165,89,5000,416,5000,4804,4709,185,5000,461,5000,2330,1145,208,4240,916,4901,877,953,205,1297,185,1697,261,340,101,305,85,365,97,109,45,130,73,130,58
4001,250,5000,3204,5000,4802,3460,629,4901,4525,4901,5000,5000,226,5000,205,5000,5000,4240,250,5000,1000,5000,4901,4804,289,4804,842,5000,2473,3229,292,4082,725,4709,929,1181,205,1312,269,1585,298,261,101,305,109,340,100,145,50,125,40,130,85
5000,533,5000,2642,5000,4705,5000,530,4901,1373,5000,4901,5000,85,5000,2692,5000,4901,4082,229,5000,986,5000,4901,4517,65,4901,101,5000,2509,2938,137,3809,578,4802,820,1060,257,1570,229,1570,292,233,61,305,90,337,85,136,37,145,64,137,65
4709,397,5000,353,5000,5000,4436,290,5000,3524,5000,5000,4337,970,5000,3077,5000,5000,4901,245,5000,2930,4901,4901,4349,104,4901,986,4901,2132,3617,153,4001,794,4610,725,1044,148,1300,208,1616,340,281,74,362,74,365,100,136,68,145,45,153,50
