C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0
N = 10,N = 20,N = 50,N = 100,N = 200,N = 500,N = 1000,N = 2000,N = 5000,N = 10,N = 20,N = 50,N = 100,N = 200,N = 500,N = 1000,N = 2000,N = 5000,N = 10,N = 20,N = 50,N = 100,N = 200,N = 500,N = 1000,N = 2000,N = 5000,N = 10,N = 20,N = 50,N = 100,N = 200,N = 500,N = 1000,N = 2000,N = 5000
65,106,388,962,2314,12610,22765,22642,22585,80,178,676,2009,6344,22549,22585,22592,22664,104,250,1089,2900,10865,22562,22685,22562,22516,160,361,1682,5353,21929,22541,22509,22525,22501
53,89,362,833,2349,12932,22721,22658,22581,90,169,610,1898,6980,22644,22637,22562,22562,104,229,850,3413,11173,22509,22760,22525,22580,125,361,1537,5825,22509,22525,22525,22688,22642
74,106,306,850,2498,12370,22717,22529,22525,109,164,637,1810,6521,22525,22516,22672,22685,145,261,1114,3305,10845,22516,22714,22514,22585,153,349,1604,5732,21834,22562,22525,22730,22549
68,101,226,1021,2626,11349,22625,22601,22685,74,170,585,1810,6521,22745,22525,22522,22789,116,256,890,3428,11365,22621,22509,22625,22685,144,377,1537,5794,22756,22570,22529,22525,22633
65,153,274,610,2978,12266,22525,22509,22525,73,170,520,2210,5978,22621,22756,22669,22504,145,260,1009,3146,10852,22585,22549,22504,22522,145,362,1768,6029,21577,22685,22501,22756,22669
53,130,226,738,1993,12805,22565,22600,22529,89,130,629,1780,6205,22589,22634,22504,22625,122,202,901,3049,12244,22669,22516,22541,22525,145,365,1664,5857,22265,22580,22525,22696,22581
53,85,353,650,2417,14130,22525,22601,22565,85,185,593,1924,6442,22698,22608,22581,22756,137,233,941,2925,11101,22789,22725,22525,22644,125,360,1601,5629,21690,22564,22549,22562,22536
65,104,317,692,2657,11765,22514,22644,22698,74,185,610,1602,6001,22765,22525,22570,22546,89,256,1033,3281,10280,22685,22706,22709,22562,137,401,1649,5897,21898,22633,22525,22633,22600
65,130,388,986,2601,11581,22738,22633,22612,85,160,640,1684,5821,22690,22625,22709,22765,109,221,850,3385,12116,22637,22536,22714,22760,148,370,1681,5812,21805,22525,22516,22529,22745
68,100,365,725,2465,14485,22608,22570,22525,81,170,730,1989,6664,22565,22600,22725,22625,104,250,1042,3185,11450,22730,22570,22504,22580,130,328,1636,5440,22669,22504,22730,22562,22525
53,145,293,1130,2389,12557,22525,22525,22541,73,157,545,1802,6005,22570,22589,22685,22736,116,257,964,3265,12136,22549,22525,22509,22730,137,401,1706,5792,21397,22525,22525,22621,22725
65,104,293,730,2465,10537,22592,22536,22516,73,109,613,1754,5882,22580,22570,22525,22765,148,232,1010,3610,11645,22633,22685,22580,22580,153,365,1601,6148,22217,22509,22525,22585,22580
74,122,296,773,2745,14885,22565,22765,22642,73,212,593,1800,6305,22570,22581,22685,22525,137,293,1090,3065,11357,22565,22689,22509,22525,145,416,1525,5825,21913,22525,22562,22642,22581
50,73,257,981,2196,13162,22613,22756,22672,85,185,544,1685,6544,22634,22608,22601,22601,98,256,1025,3257,11237,22529,22658,22690,22690,128,325,1690,5777,21026,22516,22536,22600,22570
58,117,338,776,2789,13117,22549,22625,22541,113,170,641,2248,6152,22637,22565,22581,22509,106,272,1105,2797,11450,22685,22581,22585,22525,122,340,1525,5978,22210,22509,22525,22621,22621
53,122,261,842,2704,11629,22644,22570,22573,97,160,676,1937,6344,22516,22546,22697,22685,113,260,900,3185,12253,22730,22600,22608,22581,170,333,1681,5785,21485,22644,22509,22516,22525
61,101,362,873,2113,14184,22570,22522,22501,90,178,689,1570,5485,22592,22690,22725,22529,101,260,925,3681,11889,22644,22789,22685,22580,145,340,1625,5801,21640,22525,22725,22621,22633
73,97,281,610,2837,14365,22509,22541,22688,85,212,612,1906,7380,22501,22633,22514,22613,113,250,1049,3280,11713,22509,22625,22658,22546,148,337,1621,5954,21985,22516,22562,22621,22529
58,85,260,685,2441,13061,22685,22525,22634,82,160,538,1940,6085,22637,22585,22658,22529,116,260,949,3250,12116,22509,22672,22525,22600,145,362,1690,5585,22025,22600,22564,22525,22501
85,98,293,680,2957,12965,22658,22529,22613,82,194,565,1937,5794,22546,22565,22570,22633,113,274,901,3277,11272,22725,22585,22525,22549,125,370,1764,6148,21940,22536,22501,22529,22730
74,121,260,980,2036,12697,22685,22608,22634,89,164,712,1850,5801,22756,22685,22644,22633,121,225,1105,3085,11925,22765,22541,22644,22633,153,404,1604,6100,21634,22536,22504,22525,22536
53,106,218,746,2314,12904,22738,22633,22753,80,226,650,1552,5882,22580,22608,22664,22525,113,277,981,2930,11317,22565,22562,22549,22745,137,365,1717,6088,21953,22642,22564,22525,22501
61,97,320,706,2437,13537,22612,22621,22658,85,178,544,1810,6361,22685,22509,22525,22585,109,290,985,2997,11168,22546,22756,22581,22516,149,349,1697,5354,21125,22509,22525,22696,22525
52,109,296,802,2633,12850,22789,22529,22589,85,200,565,1640,6161,22637,22562,22685,22761,121,226,850,3202,10897,22516,22625,22681,22541,170,401,1706,5498,21634,22562,22525,22565,22509
73,98,234,612,2320,11348,22529,22625,22546,85,185,626,2138,6205,22589,22738,22565,22509,122,212,1060,3217,11629,22669,22549,22509,22525,137,388,1780,5801,22265,22562,22725,22529,22669
58,104,226,890,3109,11905,22625,22725,22625,80,218,593,1825,5858,22685,22730,22562,22580,117,226,997,3364,11393,22600,22690,22625,22565,169,340,1765,6093,21933,22509,22633,22685,22562
64,109,281,793,2378,14992,22525,22536,22765,90,170,493,1769,5813,22642,22669,22580,22608,125,221,954,3604,11645,22516,22580,22644,22516,145,404,1625,5661,22114,22642,22509,22600,22696
53,65,377,725,2597,13709,22696,22562,22664,68,225,730,1325,6409,22685,22585,22625,22672,122,328,962,3285,10400,22685,22760,22761,22536,145,328,1706,6085,21169,22525,22600,22504,22501
49,117,369,778,2500,13925,22685,22696,22644,82,149,701,1937,5801,22546,22546,22525,22672,85,234,961,3217,11140,22516,22562,22669,22672,144,404,1664,5746,21753,22549,22549,22529,22601
49,122,260,977,2525,12833,22613,22613,22696,85,173,634,1940,5906,22765,22664,22525,22613,101,229,1010,2920,11458,22525,22664,22600,22525,125,386,1765,5650,21412,22525,22525,22725,22509
50,89,325,1061,2602,12532,22544,22672,22504,90,200,585,1777,6170,22525,22501,22570,22612,122,260,953,3146,11497,22529,22529,22565,22580,144,365,1665,6205,22210,22730,22525,22549,22516
50,116,261,689,2938,12960,22765,22544,22525,101,173,554,2029,6125,22525,22628,22756,22541,106,229,965,3170,11162,22562,22664,22600,22541,130,370,1585,6242,22250,22525,22529,22549,22501
65,82,365,778,2605,12805,22633,22544,22522,122,160,709,1378,6725,22570,22625,22501,22697,113,212,1105,3140,11386,22504,22570,22581,22529,137,442,1730,5876,22250,22564,22600,22501,22756
58,82,234,820,2500,12410,22625,22765,22581,74,200,580,1972,6722,22516,22564,22664,22736,90,229,904,3152,12105,22529,22706,22736,22525,153,370,1616,5945,22301,22562,22562,22509,22501
50,125,365,754,2525,11817,22504,22516,22685,98,208,650,1765,6066,22580,22525,22765,22570,104,218,1042,3112,11754,22509,22536,22634,22789,125,370,1537,5777,20992,22525,22730,22756,22601
58,106,324,1060,2165,10642,22562,22536,22761,85,180,530,2560,6544,22637,22681,22549,22637,122,272,872,2997,10980,22637,22685,22690,22525,137,370,1508,5725,21701,22669,22516,22644,22685
53,100,265,625,2165,10333,22516,22753,22565,89,185,689,1664,6344,22580,22681,22658,22525,125,234,1098,3285,11048,22761,22581,22601,22625,170,340,1602,5780,21940,22549,22698,22529,22621
53,130,233,936,2120,14985,22669,22725,22525,106,185,629,1721,6065,22581,22529,22562,22777,109,265,965,3361,11401,22601,22642,22642,22509,148,362,1730,5584,22129,22642,22685,22529,22633
53,104,409,873,1625,15300,22601,22685,22509,74,197,641,1802,7281,22501,22501,22516,22738,125,272,898,2993,11848,22745,22600,22664,22570,173,328,1850,6109,22009,22633,22756,22756,22564
65,137,277,785,2581,12053,22725,22522,22685,90,164,634,1525,6562,22562,22581,22529,22509,100,234,1040,3400,11905,22525,22525,22625,22525,144,362,1546,5641,22525,22501,22696,22621,22516
52,113,373,820,3349,13138,22697,22585,22525,74,153,578,1828,6057,22585,22504,22698,22765,125,232,932,3392,11701,22585,22658,22756,22685,173,333,1685,5641,21613,22525,22504,22633,22600
65,90,369,725,2402,13025,22698,22525,22600,122,178,610,1746,6697,22601,22562,22581,22570,100,250,842,3037,11925,22612,22685,22525,22536,148,340,1469,5634,21281,22756,22580,22529,22562
50,121,241,725,2210,14645,22525,22658,22634,73,170,541,1805,6165,22698,22672,22562,22570,109,221,1088,3505,12818,22525,22525,22664,22570,144,370,1544,5690,22525,22504,22601,22688,22564
68,85,373,785,1864,13725,22562,22730,22625,90,185,577,1765,6436,22573,22549,22565,22564,148,241,962,3508,11588,22756,22777,22516,22633,148,360,1685,5625,21908,22725,22685,22562,22562
53,82,410,986,1825,13725,22514,22562,22634,90,160,580,1697,6280,22608,22608,22681,22522,117,221,954,3545,10642,22509,22633,22541,22529,169,377,1697,5554,21512,22601,22730,22600,22621
68,100,377,1033,2578,13312,22608,22522,22562,73,180,650,1717,6120,22585,22644,22765,22525,145,260,890,3217,11434,22516,22536,22642,22516,145,404,1625,5785,21673,22725,22688,22600,22685
58,121,369,962,2250,14265,22600,22509,22741,68,169,565,1696,6317,22516,22789,22536,22600,144,256,1044,2777,10361,22761,22621,22690,22685,148,404,1690,5626,21645,22570,22756,22696,22600
65,113,361,833,2665,13204,22706,22725,22501,82,130,578,1940,6170,22625,22581,22504,22672,116,260,916,3373,11072,22581,22725,22642,22696,148,361,1636,6154,21121,22581,22509,22601,22581
68,125,362,754,2401,13085,22525,22589,22765,68,170,580,1985,6065,22580,22541,22625,22585,89,265,964,3530,11981,22570,22585,22601,22562,130,365,1658,5557,21658,22600,22730,22562,22580
58,104,353,793,2482,12725,22633,22658,22580,85,160,593,1825,6066,22570,22585,22525,22669,144,234,1025,3037,11188,22581,22580,22562,22658,145,333,1690,5618,21533,22633,22562,22564,22529
50,89,292,692,2665,13073,22529,22580,22709,74,200,650,1732,6245,22608,22522,22601,22562,125,241,932,3314,10865,22509,22633,22536,22756,148,377,1697,5540,21753,22525,22525,22549,22688
49,101,245,884,2797,13850,22580,22658,22658,97,202,545,1865,6098,22570,22685,22600,22644,97,260,922,2853,11674,22592,22585,22525,22562,144,340,1557,5341,21908,22633,22525,22536,22525
74,104,269,820,2665,12181,22525,22628,22570,82,208,793,1873,5840,22685,22541,22608,22730,125,256,976,3602,11188,22777,22613,22529,22644,145,373,1421,5480,21466,22509,22601,22633,22564
53,101,346,954,2610,12905,22690,22562,22592,73,153,629,1744,4949,22628,22633,22644,22688,109,234,1025,3305,11188,22688,22669,22570,22501,148,365,1585,5825,21925,22525,22600,22536,22501
65,136,353,797,2857,13169,22612,22601,22697,100,180,625,2213,6781,22600,22601,22525,22698,113,250,985,3393,11401,22669,22736,22504,22585,153,340,1780,5634,21658,22725,22601,22564,22525
58,100,320,981,2930,12017,22664,22562,22529,68,181,505,1825,6152,22685,22529,22525,22765,90,250,905,2916,11570,22685,22529,22721,22544,148,365,1565,6205,21220,22789,22509,22529,22756
