author:	Mlewandowska
date:	2019-06-04 17:22	2019-06-04 19:17
concentration = 0.1, size: 100x100
distribution: Laplace	scale: 1.4
init_number_X = 100, init_number_Y = 1000   n_links = 0
k1 = 1, k2 = 1, beta = 0, lambd = 0.3
number of simulations k = 50, number of iterations n = 5000
range sampling: [0, 5, 10, 20, 30, 40, 50, 60]

0,1,2,51,86,118,190,237,
0,1,2,40,83,137,164,247,
0,1,6,60,106,140,179,293,
0,1,2,42,93,129,178,221,285,
0,1,2,49,89,122,181,239,300,
0,1,2,47,107,142,197,285,360,
0,1,2,46,107,165,210,271,337,
0,1,2,44,87,146,196,256,311,
0,1,2,41,81,122,169,220,
0,1,2,44,81,135,176,280,
0,1,2,50,103,142,187,270,345,
0,1,5,46,89,124,168,219,348,
0,1,2,34,78,140,179,236,296,
0,1,2,29,92,124,176,231,267,
0,1,2,45,99,150,201,257,302,
0,1,2,45,108,142,184,246,
0,1,2,48,83,136,187,273,328,
0,1,2,37,72,124,170,248,311,
0,1,4,33,104,146,209,265,316,
0,1,2,37,69,101,160,213,328,
0,1,2,40,89,158,215,300,349,
0,1,2,45,77,119,168,225,350,
0,1,2,42,77,126,189,238,293,
0,1,2,42,107,149,191,262,351,
0,1,2,38,96,155,206,266,321,
0,1,2,56,88,147,187,248,300,
0,1,6,55,101,168,218,296,385,
0,1,2,51,91,124,160,294,359,
0,1,2,46,101,149,204,248,306,
0,1,13,56,105,165,200,252,342,
0,1,2,30,77,123,164,262,319,
0,1,5,52,93,131,177,226,300,
0,1,2,52,99,131,188,239,300,
0,1,2,33,90,134,174,226,285,
0,1,2,46,89,130,168,222,253,
0,1,6,49,96,144,184,249,302,
0,1,2,59,92,132,169,250,329,
0,1,2,52,101,154,208,289,339,
0,1,4,40,83,135,190,261,383,
0,1,2,43,92,137,188,265,323,
0,1,2,33,88,122,163,234,303,
0,1,2,37,71,120,162,264,412,
0,1,2,41,79,136,173,236,341,
0,1,2,41,75,118,180,250,318,
0,1,2,37,77,107,149,206,300,
0,1,8,41,90,132,200,282,324,
0,1,2,40,93,131,180,242,298,
0,1,2,43,80,145,193,245,433,
0,1,2,43,84,125,160,229,304,
0,1,4,39,104,147,195,249,326,
0,1,2,43,92,144,198,
0,1,2,43,83,140,190,
0,1,2,47,86,140,182,
0,1,2,41,87,134,192,
0,1,2,44,93,143,192,
0,1,4,56,99,160,204,
0,1,2,37,79,135,193,
0,1,2,51,88,136,193,
0,1,2,38,93,126,164,
0,1,2,55,98,127,162,
0,1,2,37,76,113,151,
0,1,2,44,84,125,179,
0,1,2,29,70,121,169,
0,1,7,36,78,121,184,
0,1,2,48,87,120,171,
0,1,2,52,92,140,190,
0,1,6,45,82,126,170,
0,1,5,48,88,119,177,
0,1,2,53,87,128,184,
0,1,2,39,101,148,206,
0,1,2,53,103,139,170,
0,1,2,36,78,131,177,
0,1,2,42,97,141,188,
0,1,2,42,87,116,182,
0,1,2,34,74,130,174,
0,1,2,49,94,138,194,
0,1,6,47,87,122,171,
0,1,2,42,77,132,182,
0,1,2,37,86,126,187,
0,1,2,44,75,123,168,
0,1,2,50,95,133,178,
0,1,7,25,73,123,169,
0,1,3,43,82,131,185,
0,1,7,53,95,142,176,
0,1,2,48,99,145,204,
0,1,2,48,98,145,185,
0,1,2,33,72,118,148,
0,1,2,43,90,138,176,
0,1,2,45,82,136,172,
0,1,2,46,93,132,174,
0,1,2,41,92,144,177,
0,1,2,27,69,110,157,
0,1,2,41,74,145,188,
0,1,2,33,74,135,185,
0,1,2,40,92,125,180,
0,1,2,31,66,116,170,
0,1,2,42,88,127,189,
0,1,4,56,100,149,195,
0,1,6,46,80,129,167,
0,1,2,45,114,157,201,
0,1,2,36,89,122,182,
0,1,2,55,100,149,207,
0,1,2,36,89,154,204,
0,1,2,35,76,124,170,
0,1,2,47,85,134,178,
0,1,2,37,74,117,158,
0,1,2,42,86,139,185,
0,1,2,48,95,145,193,
0,1,2,38,82,140,185,
0,1,2,43,81,127,161,
0,1,2,26,63,119,172,
0,1,4,48,97,139,183,
0,1,2,47,98,145,194,
0,1,2,33,65,131,170,
0,1,2,51,79,122,182,
0,1,4,55,94,168,217,
0,1,2,37,81,121,188,
0,1,2,56,97,151,202,
