author:	Mlewandowska
date:	2019-06-06 19:02	2019-06-06 22:01
concentration = 0.2, size: 100x100
distribution: Laplace	scale: 1.3
init_number_X = 100, init_number_Y = 5000
k1 = 1, k2 = 1, beta = 0, lambd = 0.3
number of simulations k = 8, number of iterations n = 5000
range sampling: [0, 5, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100]

0,1,2,
0,1,3,
0,1,2,
0,1,2,
0,1,3,
0,1,2,66,
0,1,2,
0,1,2,
0,1,2,47,
0,1,2,62,
0,1,2,
0,1,2,40,
0,1,2,64,153,
0,1,2,89,
0,1,2,
0,1,3,
0,1,2,
0,1,4,
0,1,2,
0,1,2,
0,1,7,114,
0,1,3,
0,1,2,
0,1,2,
0,1,2,
0,1,2,
0,1,7,
0,1,2,
0,1,2,
0,1,2,
0,1,2,48,152,
0,1,2,61,
0,1,2,
0,1,2,
0,1,2,
0,1,5,
0,1,2,108,
0,1,2,103,
0,1,2,86,
0,1,22,
0,1,2,
0,1,2,71,
0,1,13,
0,1,2,100,
0,1,2,
0,1,2,91,
0,1,2,54,
0,1,7,
0,1,2,
0,1,6,
0,1,2,
0,1,5,94,
0,1,2,
0,1,2,
0,1,7,83,
0,1,7,
0,1,7,
0,1,2,
0,1,2,
0,1,2,101,
0,1,12,
0,1,17,86,
0,1,8,50,
0,1,2,
0,1,2,86,
0,1,2,
0,1,2,
0,1,2,14,63,
0,1,2,
0,1,2,59,
0,1,14,
0,1,2,83,
0,1,2,60,129,
0,1,2,93,
0,1,2,
0,1,2,75,
0,1,2,50,
0,1,2,39,107,
0,1,3,
0,1,2,
0,1,10,
0,1,2,53,132,
0,1,2,
0,1,2,71,
0,1,2,
0,1,6,
0,1,2,56,
0,1,6,
0,1,2,69,157,
0,1,2,35,
0,1,2,
0,1,2,
0,1,2,
0,1,2,
0,1,10,48,
0,1,2,92,
0,1,2,
0,1,7,48,
0,1,7,
0,1,2,
0,1,2,87,
0,1,2,78,
