min,max,value,counter
0,0,0.0,0
1,1,1.0,0
2,2,2.0,0
3,3,3.0,0
4,4,4.0,0
5,5,5.0,0
6,6,6.0,0
7,7,7.0,0
8,8,8.0,0
9,9,9.0,0
10,10,10.0,0
11,11,11.0,0
12,12,12.0,0
13,13,13.0,0
14,14,14.0,0
15,15,15.0,0
16,16,16.0,0
17,17,17.0,0
18,18,18.0,0
19,19,19.0,0
20,20,20.0,0
21,21,21.0,0
22,22,22.0,0
23,23,23.0,0
24,24,24.0,0
25,25,25.0,0
26,26,26.0,0
27,27,27.0,0
28,28,28.0,0
29,29,29.0,0
30,30,30.0,0
31,31,31.0,0
32,32,32.0,0
33,33,33.0,0
34,34,34.0,0
35,35,35.0,0
36,36,36.0,0
37,37,37.0,0
38,38,38.0,0
39,39,39.0,0
40,40,40.0,0
41,41,41.0,0
42,42,42.0,0
43,43,43.0,0
44,44,44.0,0
45,45,45.0,0
46,46,46.0,0
47,47,47.0,0
48,48,48.0,0
49,49,49.0,0
50,50,50.0,0
51,51,51.0,0
52,52,52.0,0
53,53,53.0,0
54,54,54.0,0
55,55,55.0,0
56,56,56.0,0
57,57,57.0,0
58,58,58.0,0
59,59,59.0,0
60,60,60.0,0
61,61,61.0,0
62,62,62.0,0
63,63,63.0,0
64,64,64.0,0
65,65,65.0,0
66,66,66.0,0
67,67,67.0,0
68,68,68.0,0
69,69,69.0,0
70,70,70.0,0
71,71,71.0,0
72,72,72.0,0
73,73,73.0,0
74,74,74.0,0
75,75,75.0,0
76,76,76.0,0
77,77,77.0,0
78,78,78.0,0
79,79,79.0,0
80,80,80.0,1
81,81,81.0,0
82,82,82.0,0
83,83,83.0,0
84,84,84.0,0
85,85,85.0,0
86,86,86.0,1
87,87,87.0,0
88,88,88.0,0
89,89,89.0,0
90,90,90.0,1
91,91,91.0,2
92,92,92.0,7
93,93,93.0,2
94,94,94.0,5
95,95,95.0,1
96,96,96.0,6
97,97,97.0,4
98,98,98.0,8
99,99,99.0,10
100,100,100.0,7
101,101,101.0,21
102,102,102.0,7
103,103,103.0,7
104,104,104.0,16
105,105,105.0,14
106,106,106.0,16
107,107,107.0,17
108,108,108.0,15
109,109,109.0,18
110,110,110.0,17
111,111,111.0,25
112,112,112.0,23
113,113,113.0,23
114,114,114.0,18
115,115,115.0,40
116,116,116.0,25
117,117,117.0,25
118,118,118.0,20
119,119,119.0,21
120,120,120.0,17
121,121,121.0,28
122,122,122.0,24
123,123,123.0,23
124,124,124.0,29
125,125,125.0,27
126,126,126.0,24
127,127,127.0,20
128,128,128.0,24
129,129,129.0,22
130,130,130.0,26
131,131,131.0,21
132,132,132.0,17
133,133,133.0,13
134,134,134.0,18
135,135,135.0,19
136,136,136.0,17
137,137,137.0,7
138,138,138.0,12
139,139,139.0,12
140,140,140.0,11
141,141,141.0,9
142,142,142.0,8
143,143,143.0,8
144,144,144.0,13
145,145,145.0,11
146,146,146.0,2
147,147,147.0,3
148,148,148.0,7
149,149,149.0,12
150,150,150.0,7
151,151,151.0,3
152,152,152.0,9
153,153,153.0,7
154,154,154.0,7
155,155,155.0,1
156,156,156.0,3
157,157,157.0,2
158,158,158.0,7
159,159,159.0,4
160,160,160.0,5
161,161,161.0,5
162,162,162.0,3
163,163,163.0,3
164,164,164.0,0
165,165,165.0,2
166,166,166.0,4
167,167,167.0,2
168,168,168.0,2
169,169,169.0,1
170,170,170.0,1
171,171,171.0,3
172,172,172.0,0
173,173,173.0,0
174,174,174.0,0
175,175,175.0,1
176,176,176.0,1
177,177,177.0,0
178,178,178.0,2
179,179,179.0,0
180,180,180.0,0
181,181,181.0,0
182,182,182.0,0
183,183,183.0,1
184,184,184.0,1
185,185,185.0,0
186,186,186.0,0
187,187,187.0,1
188,188,188.0,1
189,189,189.0,0
190,190,190.0,0
191,191,191.0,0
192,192,192.0,0
193,193,193.0,0
194,194,194.0,1
195,195,195.0,0
196,196,196.0,0
197,197,197.0,0
198,198,198.0,1
199,199,199.0,0
200,200,200.0,0
201,201,201.0,0
202,202,202.0,0
203,203,203.0,1
204,204,204.0,0
205,205,205.0,0
206,206,206.0,0
207,207,207.0,0
208,208,208.0,0
209,209,209.0,0
210,210,210.0,0
211,211,211.0,0
212,212,212.0,0
213,213,213.0,0
214,214,214.0,1
215,215,215.0,0
